atm_name,transaction_date,No_Of_Withdrawals,total_amount_withdrawn,weekday_monday,weekday_saturday,weekday_sunday,weekday_thursday,weekday_tuesday,weekday_wednesday,working_day_W,day_type_Day of Ashura,day_type_Diwali,day_type_Easter Sunday,day_type_Eid al-Adha,day_type_Eid ul-Fitr,day_type_Feast of Pentecost,day_type_Gandhi Jayanti,day_type_Good Friday,day_type_Holi,day_type_Independence Day,day_type_Labour Day,day_type_Makar Sankranti / Pongal,day_type_Mawlid,day_type_Normal Day,day_type_Palm Sunday,day_type_Republic Day,moving_avg_7d,prev_day_withdrawals,prev_day_amount,lag_1,lag_7
Big Street ATM,2011-01-01,50,123800,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,
Mount Road ATM,2011-01-01,253,767900,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,50.0,123800.0,123800.0,
Airport ATM,2011-01-01,98,503400,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,253.0,767900.0,767900.0,
KK Nagar ATM,2011-01-01,265,945300,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,98.0,503400.0,503400.0,
Christ College ATM,2011-01-01,74,287700,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,265.0,945300.0,945300.0,
Big Street ATM,2011-01-02,17,52800,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,74.0,287700.0,287700.0,
Mount Road ATM,2011-01-02,194,529300,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,458600.0,17.0,52800.0,52800.0,
Airport ATM,2011-01-02,67,268600,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,479285.71428571426,194.0,529300.0,529300.0,123800.0
KK Nagar ATM,2011-01-02,260,809400,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,485214.28571428574,67.0,268600.0,268600.0,767900.0
Christ College ATM,2011-01-02,80,300000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,456157.14285714284,260.0,809400.0,809400.0,503400.0
Big Street ATM,2011-01-03,24,88100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,333700.0,80.0,300000.0,300000.0,945300.0
Mount Road ATM,2011-01-03,246,897100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,420757.14285714284,24.0,88100.0,88100.0,287700.0
Airport ATM,2011-01-03,109,603900,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,499485.71428571426,246.0,897100.0,897100.0,52800.0
KK Nagar ATM,2011-01-03,309,1333100,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,614314.2857142857,109.0,603900.0,603900.0,529300.0
Christ College ATM,2011-01-03,108,522800,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,650628.5714285715,309.0,1333100.0,1333100.0,268600.0
Big Street ATM,2011-01-04,34,101600,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,549514.2857142857,108.0,522800.0,522800.0,809400.0
